time_added,stage,stage_number,istitute_name,miur_code,pat_code,timetable_type,valore,valore_tot,valore_d,anno_scol,institute_miurcode,anno_corso,id_scuola
1640991604000,Primary School,2,ISTITUTO COMPRENSIVO CENTRO VALSUGANA,TNIC81300R,221882902,Morning,0.0,491.0,0.0,2020-21,TNIC81300R,1,65578
1640991604000,Primary School,2,ISTITUTO COMPRENSIVO CENTRO VALSUGANA,TNIC81300R,221882902,Morning,0.0,491.0,0.0,2020-21,TNIC81300R,2,65578
1640991604000,Primary School,2,ISTITUTO COMPRENSIVO CENTRO VALSUGANA,TNIC81300R,221882902,Morning,0.0,491.0,0.0,2020-21,TNIC81300R,3,65578
1640991604000,Primary School,2,ISTITUTO COMPRENSIVO CENTRO VALSUGANA,TNIC81300R,221882902,Morning,0.0,491.0,0.0,2020-21,TNIC81300R,4,65578
1640991604000,Primary School,2,ISTITUTO COMPRENSIVO CENTRO VALSUGANA,TNIC81300R,221882902,Morning,0.0,491.0,0.0,2020-21,TNIC81300R,5,65578
1640991604000,Middle School,3,ISTITUTO COMPRENSIVO CENTRO VALSUGANA,TNIC81300R,221882902,Morning,0.0,284.0,0.0,2020-21,TNIC81300R,1,29509
1640991604000,Middle School,3,ISTITUTO COMPRENSIVO CENTRO VALSUGANA,TNIC81300R,221882902,Morning,0.0,284.0,0.0,2020-21,TNIC81300R,2,29509
1640991604000,Middle School,3,ISTITUTO COMPRENSIVO CENTRO VALSUGANA,TNIC81300R,221882902,Morning,0.0,284.0,0.0,2020-21,TNIC81300R,3,29509
1640991604000,Middle School,3,ISTITUTO COMPRENSIVO CENTRO VALSUGANA,TNIC81300R,221882902,Morning,0.0,284.0,0.0,2020-21,TNIC81300R,4,29509
1640991604000,Middle School,3,ISTITUTO COMPRENSIVO CENTRO VALSUGANA,TNIC81300R,221882902,Morning,0.0,284.0,0.0,2020-21,TNIC81300R,5,29509
1640991604000,Middle School,3,ISTITUTO COMPRENSIVO CENTRO VALSUGANA,TNIC81300R,221882902,Morning,0.0,284.0,0.0,2020-21,TNIC81300R,1,29510
1640991604000,Middle School,3,ISTITUTO COMPRENSIVO CENTRO VALSUGANA,TNIC81300R,221882902,Morning,0.0,284.0,0.0,2020-21,TNIC81300R,2,29510
1640991604000,Middle School,3,ISTITUTO COMPRENSIVO CENTRO VALSUGANA,TNIC81300R,221882902,Morning,0.0,284.0,0.0,2020-21,TNIC81300R,3,29510
1640991604000,Middle School,3,ISTITUTO COMPRENSIVO CENTRO VALSUGANA,TNIC81300R,221882902,Morning,0.0,284.0,0.0,2020-21,TNIC81300R,4,29510
1640991604000,Middle School,3,ISTITUTO COMPRENSIVO CENTRO VALSUGANA,TNIC81300R,221882902,Morning,0.0,284.0,0.0,2020-21,TNIC81300R,5,29510
1640991603000,High School,4,"ISTITUTO DI ISTRUZIONE ""LA ROSA BIANCA"" - CAVALESE",TNIS00100P,220509501,Morning,0.0160513643659711,623.0,10.0,2020-21,TNIS00100P,1,29783
1640991603000,High School,4,"ISTITUTO DI ISTRUZIONE ""LA ROSA BIANCA"" - CAVALESE",TNIS00100P,220509501,Morning,0.0160513643659711,623.0,10.0,2020-21,TNIS00100P,2,29783
1640991603000,High School,4,"ISTITUTO DI ISTRUZIONE ""LA ROSA BIANCA"" - CAVALESE",TNIS00100P,220509501,Morning,0.0160513643659711,623.0,10.0,2020-21,TNIS00100P,3,29783
1640991603000,High School,4,"ISTITUTO DI ISTRUZIONE ""LA ROSA BIANCA"" - CAVALESE",TNIS00100P,220509501,Morning,0.0160513643659711,623.0,10.0,2020-21,TNIS00100P,4,29783
1640991603000,High School,4,"ISTITUTO DI ISTRUZIONE ""LA ROSA BIANCA"" - CAVALESE",TNIS00100P,220509501,Morning,0.0160513643659711,623.0,10.0,2020-21,TNIS00100P,5,29783
1640991603000,High School,4,"ISTITUTO DI ISTRUZIONE ""LA ROSA BIANCA"" - CAVALESE",TNIS00100P,220509501,Morning,0.0160513643659711,623.0,10.0,2020-21,TNIS00100P,1,29784
1640991603000,High School,4,"ISTITUTO DI ISTRUZIONE ""LA ROSA BIANCA"" - CAVALESE",TNIS00100P,220509501,Morning,0.0160513643659711,623.0,10.0,2020-21,TNIS00100P,2,29784
1640991603000,High School,4,"ISTITUTO DI ISTRUZIONE ""LA ROSA BIANCA"" - CAVALESE",TNIS00100P,220509501,Morning,0.0160513643659711,623.0,10.0,2020-21,TNIS00100P,3,29784
1640991603000,High School,4,"ISTITUTO DI ISTRUZIONE ""LA ROSA BIANCA"" - CAVALESE",TNIS00100P,220509501,Morning,0.0160513643659711,623.0,10.0,2020-21,TNIS00100P,4,29784
1640991603000,High School,4,"ISTITUTO DI ISTRUZIONE ""LA ROSA BIANCA"" - CAVALESE",TNIS00100P,220509501,Morning,0.0160513643659711,623.0,10.0,2020-21,TNIS00100P,5,29784
1640991603000,High School,4,"ISTITUTO DI ISTRUZIONE ""LA ROSA BIANCA"" - CAVALESE",TNIS00100P,220509501,Morning,0.0160513643659711,623.0,10.0,2020-21,TNIS00100P,1,29785
1640991603000,High School,4,"ISTITUTO DI ISTRUZIONE ""LA ROSA BIANCA"" - CAVALESE",TNIS00100P,220509501,Morning,0.0160513643659711,623.0,10.0,2020-21,TNIS00100P,2,29785
1640991603000,High School,4,"ISTITUTO DI ISTRUZIONE ""LA ROSA BIANCA"" - CAVALESE",TNIS00100P,220509501,Morning,0.0160513643659711,623.0,10.0,2020-21,TNIS00100P,3,29785
1640991603000,High School,4,"ISTITUTO DI ISTRUZIONE ""LA ROSA BIANCA"" - CAVALESE",TNIS00100P,220509501,Morning,0.0160513643659711,623.0,10.0,2020-21,TNIS00100P,4,29785
