ord_scol,tipo_orario,num_anni,etichetta,percentuale_ammessi,anno,miur_code,school_id
High School,Evening,5,2021-22,40.909090909090914,4,TNIS00100P,29784
High School,Evening,5,2021-22,40.909090909090914,4,TNIS00100P,29786
High School,Evening,5,2021-22,70.0,5,TNIS00100P,29784
High School,Evening,5,2021-22,70.0,5,TNIS00100P,29786
Primary School,Morning,5,2021-22,100.0,1,TNIC861006,63289
Primary School,Morning,5,2021-22,100.0,2,TNIC861006,63289
Primary School,Morning,5,2021-22,100.0,3,TNIC861006,63289
Primary School,Morning,5,2021-22,100.0,4,TNIC861006,63289
Primary School,Morning,5,2021-22,100.0,5,TNIC861006,63289
Middle School,Morning,3,2021-22,100.0,1,TNIC861006,65577
Middle School,Morning,3,2021-22,97.87234042553192,2,TNIC861006,65577
Middle School,Morning,3,2021-22,100.0,3,TNIC861006,65577
Professional School,Morning,5,2021-22,77.52808988764045,1,TNCF001001,29261
Professional School,Morning,5,2021-22,77.52808988764045,1,TNCF001001,29262
Professional School,Morning,5,2021-22,86.3013698630137,2,TNCF001001,29261
Professional School,Morning,5,2021-22,86.3013698630137,2,TNCF001001,29262
Professional School,Morning,5,2021-22,81.73913043478261,3,TNCF001001,29261
Professional School,Morning,5,2021-22,81.73913043478261,3,TNCF001001,29262
Professional School,Morning,5,2021-22,88.67924528301887,4,TNCF001001,29261
Professional School,Morning,5,2021-22,88.67924528301887,4,TNCF001001,29262
Professional School,Morning,5,2021-22,88.46153846153845,5,TNCF001001,29261
Professional School,Morning,5,2021-22,88.46153846153845,5,TNCF001001,29262
Professional School,Morning,5,2021-22,79.12087912087912,1,TNCF007001,29264
Professional School,Morning,5,2021-22,80.51948051948052,2,TNCF007001,29264
Professional School,Morning,5,2021-22,80.45977011494253,3,TNCF007001,29264
Professional School,Morning,5,2021-22,88.09523809523809,4,TNCF007001,29264
Professional School,Morning,5,2021-22,88.46153846153845,5,TNCF007001,29264
Professional School,Morning,5,2021-22,65.78947368421053,1,TNCF008001,29266
Professional School,Morning,5,2021-22,74.21875,2,TNCF008001,29266
Professional School,Morning,5,2021-22,75.0,3,TNCF008001,29266
Professional School,Morning,5,2021-22,82.75862068965517,4,TNCF008001,29266
Professional School,Morning,5,2021-22,94.11764705882352,5,TNCF008001,29266
