data_inserimento,ord_scol_cap,ord_scol_ord,strutt_liv_1_cap,strutt_liv_1_cod_miur,strutt_liv_1_cod_pat,tipo_ora_id,valore,valore_d,valore_n,anno_scol,anno_corso,miur_code,school_id
1640991601000,High School,4,"ISTITUTO DI ISTRUZIONE ""LA ROSA BIANCA"" - CAVALESE",TNIS00100P,220509501,Morning,0.008130081300813,123.0,1.0,2020-21,5,TNIS00100P,65579
1640991601000,High School,4,"ISTITUTO DI ISTRUZIONE ""LA ROSA BIANCA"" - CAVALESE",TNIS00100P,220509501,Evening,0.5217391304347826,23.0,12.0,2020-21,3,TNIS00100P,29784
1640991601000,High School,4,"ISTITUTO DI ISTRUZIONE ""LA ROSA BIANCA"" - CAVALESE",TNIS00100P,220509501,Evening,0.5217391304347826,23.0,12.0,2020-21,3,TNIS00100P,29786
1640991601000,High School,4,"ISTITUTO DI ISTRUZIONE ""LA ROSA BIANCA"" - CAVALESE",TNIS00100P,220509501,Evening,0.0,18.0,0.0,2020-21,4,TNIS00100P,29784
1640991601000,High School,4,"ISTITUTO DI ISTRUZIONE ""LA ROSA BIANCA"" - CAVALESE",TNIS00100P,220509501,Evening,0.0,18.0,0.0,2020-21,4,TNIS00100P,29786
1640991601000,High School,4,"ISTITUTO DI ISTRUZIONE ""LA ROSA BIANCA"" - CAVALESE",TNIS00100P,220509501,Evening,0.0,7.0,0.0,2020-21,5,TNIS00100P,29784
1640991601000,High School,4,"ISTITUTO DI ISTRUZIONE ""LA ROSA BIANCA"" - CAVALESE",TNIS00100P,220509501,Evening,0.0,7.0,0.0,2020-21,5,TNIS00100P,29786
1640991602000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE ENAIP - TIONE DI TRENTO,nan,221999599,Morning,0.0266666666666666,75.0,2.0,2020-21,1,TNCF001001,29261
1640991602000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE ENAIP - TIONE DI TRENTO,nan,221999599,Morning,0.0266666666666666,75.0,2.0,2020-21,1,TNCF001001,29262
1640991602000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE ENAIP - TIONE DI TRENTO,nan,221999599,Morning,0.0336134453781512,119.0,4.0,2020-21,2,TNCF001001,29261
1640991602000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE ENAIP - TIONE DI TRENTO,nan,221999599,Morning,0.0336134453781512,119.0,4.0,2020-21,2,TNCF001001,29262
1640991602000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE ENAIP - TIONE DI TRENTO,nan,221999599,Morning,0.0673076923076923,104.0,7.0,2020-21,3,TNCF001001,29261
1640991602000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE ENAIP - TIONE DI TRENTO,nan,221999599,Morning,0.0673076923076923,104.0,7.0,2020-21,3,TNCF001001,29262
1640991602000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE ENAIP - TIONE DI TRENTO,nan,221999599,Morning,0.0138888888888888,72.0,1.0,2020-21,4,TNCF001001,29261
1640991602000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE ENAIP - TIONE DI TRENTO,nan,221999599,Morning,0.0138888888888888,72.0,1.0,2020-21,4,TNCF001001,29262
1640991602000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE ENAIP - TIONE DI TRENTO,nan,221999599,Morning,0.0,25.0,0.0,2020-21,5,TNCF001001,29261
1640991602000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE ENAIP - TIONE DI TRENTO,nan,221999599,Morning,0.0,25.0,0.0,2020-21,5,TNCF001001,29262
1640991601000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE ENAIP - VARONE DI RIVA DEL GARDA,nan,221539599,Morning,0.0263157894736842,76.0,2.0,2020-21,1,TNCF007001,29264
1640991601000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE ENAIP - VARONE DI RIVA DEL GARDA,nan,221539599,Morning,0.0,101.0,0.0,2020-21,2,TNCF007001,29264
1640991601000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE ENAIP - VARONE DI RIVA DEL GARDA,nan,221539599,Morning,0.1595744680851064,94.0,15.0,2020-21,3,TNCF007001,29264
1640991601000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE ENAIP - VARONE DI RIVA DEL GARDA,nan,221539599,Morning,0.1636363636363636,55.0,9.0,2020-21,4,TNCF007001,29264
1640991601000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE ENAIP - VARONE DI RIVA DEL GARDA,nan,221539599,Morning,0.0,44.0,0.0,2020-21,5,TNCF007001,29264
1640991602000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE ENAIP - VILLAZZANO,nan,222059597,Morning,0.1101694915254237,118.0,13.0,2020-21,1,TNCF008001,29266
1640991602000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE ENAIP - VILLAZZANO,nan,222059597,Morning,0.0314465408805031,159.0,5.0,2020-21,2,TNCF008001,29266
1640991602000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE ENAIP - VILLAZZANO,nan,222059597,Morning,0.1079136690647482,139.0,15.0,2020-21,3,TNCF008001,29266
1640991602000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE ENAIP - VILLAZZANO,nan,222059597,Morning,0.0266666666666666,75.0,2.0,2020-21,4,TNCF008001,29266
1640991602000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE ENAIP - VILLAZZANO,nan,222059597,Morning,0.0,28.0,0.0,2020-21,5,TNCF008001,29266
1640991602000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE ENAIP - VILLAZZANO,nan,222059597,Evening,0.3823529411764705,34.0,13.0,2020-21,2,TNCF008001,29267
