school_id,miur_code,score,school_name
"29514
",TNEE817049,"5,0","

                
SCUOLA PRIMARIA ALBIANO
            
"
"29516
",TNMM817015,"2,5","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""G. ALESSANDRINI"" CIVEZZANO
            
"
"29517
",TNMM817026,"5,0","

                
SCUOLA SECONDARIA DI PRIMO GRADO ALBIANO
            
"
"29529
",TNMM838027,"5,0","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""G. PASCOLI"" PIEVE DI BONO
            
"
"29396
",nan,"3,7","

                
Scuola dell'Infanzia di Rovereto ""C. Battisti""
            
"
"29403
",nan,"4,0","

                
Scuola dell'Infanzia di Terragnolo Piazza
            
"
"29404
",nan,"4,7","

                
Scuola dell'Infanzia di Tierno Mori  ""Il girasole""
            
"
"134612
",TNTN04500G,"3,8","

                
ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO
            
"
"29413
",TNTN04500G,"3,8","

                
ISTITUTO TECNICO PER IL SETTORE ECONOMICO
            
"
"29414
",TNPS00500B,"3,8","

                
LICEO SCIENTIFICO OPZIONE SCIENZE APPLICATE
            
"
"29415
",TN1E00800N,"3,8","

                
SCUOLA PRIMARIA GARDASCUOLA ARCO
            
"
"29416
",TN1M00800V,"3,8","

                
SCUOLA SECONDARIA DI PRIMO GRADO GARDASCUOLA ARCO
            
"
"29419
",TNCF002001,"3,0","

                
SETTORE INDUSTRIA E ARTIGIANATO
            
"
"29420
",nan,"3,0","

                
SETTORE INDUSTRIA E ARTIGIANATO SERALE
            
"
"29422
",TNEE84801T,"3,0","

                
SCUOLA PRIMARIA ""A. BETTA"" ALA
            
"
"29426
",TNEE82102V,"5,0","

                
SCUOLA PRIMARIA ALDENO
            
"
"29428
",TNEE821041,"4,2","

                
SCUOLA PRIMARIA MATTARELLO
            
"
"29430
",TNMM82102T,"4,0","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""A. FOGAZZARO"" MATTARELLO
            
"
"29434
",TNEE83204B,"4,0","

                
SCUOLA PRIMARIA COGOLO DI PEIO
            
"
"29435
",TNEE83208G,"4,0","

                
SCUOLA PRIMARIA COMMEZZADURA
            
"
"29436
",TNEE83207E,"4,0","

                
SCUOLA PRIMARIA PASSO TONALE
            
"
"29438
",TNEE83206D,"4,0","

                
SCUOLA PRIMARIA VERMIGLIO
            
"
"29439
",TNMM832017,"4,0","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""C. ZANELLA"" FUCINE DI OSSANA
            
"
"29441
",TNEE86002D,"3,7","

                
SCUOLA PRIMARIA ""A.DE VALENTINI"" CALLIANO
            
"
"29442
",TNEE86003E,"3,7","

                
SCUOLA PRIMARIA ""G. TOVAZZI"" VOLANO
            
"
"29444
",TNMM86001B,"5,0","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""ALTA VALLAGARINA"" VOLANO
            
"
"29446
",TNEE81605E,"4,0","

                
SCUOLA PRIMARIA  ""ABRAMO ANDREATTA"" BEDOLLO
            
"
"29447
",TNEE81601A,"5,0","

                
SCUOLA PRIMARIA ""G. DALLAFIOR"" BASELGA DI PINE'
            
"
"29449
",TNMM816019,"5,0","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""DON GIUSEPPE TARTER""BASELGA DI PINE'
            
"
"29451
",TNEE840039,"5,0","

                
SCUOLA PRIMARIA ""G. SEGANTINI"" ARCO
            
"
"29452
",TNEE840017,"5,0","

                
SCUOLA PRIMARIA BOLOGNANO
            
"
"29454
",TNEE84004A,"5,0","

                
SCUOLA PRIMARIA ROMARZOLLO
            
"
"29455
",TNMM840016,"3,1","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""N. D'ARCO"" ARCO
            
"
"29607
",TNEE81402Q,"4,5","

                
SCUOLA PRIMARIA ""DON L. MILANI"" PERGINE VALSUGANA
            
"
"29611
",TNEE814071,"4,0","

                
SCUOLA PRIMARIA ZIVIGNAGO
            
"
"29612
",TNMM81401N,"4,0","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""C. ANDREATTA"" PERGINE VALSUGANA
            
"
"29614
",TNEE81501E,"5,0","

                
SCUOLA PRIMARIA ""G. RODARI"" PERGINE VALSUGANA
            
"
"29615
",TNEE81502G,"5,0","

                
SCUOLA PRIMARIA CANALE
            
"
"29616
",TNEE81504N,"5,0","

                
SCUOLA PRIMARIA MADRANO
            
"
"29618
",TNMM81501D,"5,0","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""T. GARBARI"" PERGINE VALSUGANA
            
"
"29633
",TNEE842031,"5,0","

                
SCUOLA PRIMARIA ""G. FEDRIGONI"" VARONE RIVA DEL GARDA
            
"
"29645
",TNEE85903A,"4,3","

                
SCUOLA PRIMARIA ""M. K. GANDHI"" ROVERETO
            
"
"29646
",TNMM859017,"4,3","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""L. NEGRELLI"" ROVERETO
            
"
"29653
",TNEE80102N,"5,0","

                
SCUOLA PRIMARIA ""A. DEGASPERI"" PIEVE TESINO
            
"
"29655
",TNEE80104Q,"4,8","

                
SCUOLA PRIMARIA SAMONE
            
"
"29656
",TNEE80105R,"5,0","

                
SCUOLA PRIMARIA SCURELLE
            
"
"29657
",TNEE80106T,"5,0","

                
SCUOLA PRIMARIA STRIGNO
            
"
"29658
",TNEE80107V,"5,0","

                
SCUOLA PRIMARIA VILLA AGNEDO
            
"
"29659
",TNMM80102L,"5,0","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""O. BRENTARI"" STRIGNO
            
"
"29564
",TNEE83704E,"5,0","

                
SCUOLA PRIMARIA CAMPO LOMASO
            
"
"29567
",TNMM83701A,"5,0","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""G. PRATI"" PONTE ARCHE
            
"
"29574
",TNEE825037,"4,0","

                
SCUOLA PRIMARIA ""A. FRANK"" ZAMBANA
            
"
"29575
",TNEE825015,"4,5","

                
SCUOLA PRIMARIA ""DON G. GRAZIOLI"" LAVIS
            
"
"29576
",TNEE825026,"5,0","

                
SCUOLA PRIMARIA PRESSANO LAVIS
            
"
"29577
",TNMM825014,"4,8","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""A. STAINER"" LAVIS
            
"
"29581
",TNEE818012,"5,0","

                
SCUOLA PRIMARIA ""PADRE B. MARTINELLI"" CALCERANICA AL LAGO
            
"
"29582
",TNEE818034,"5,0","

                
SCUOLA PRIMARIA LEVICO TERME
            
"
"29583
",TNMM818011,"5,0","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""G. B. DE GASPARIS"" LEVICO TERME
            
"
"29585
",TNEE82304L,"3,4","

                
SCUOLA PRIMARIA ""A. DEGASPERI"" MEZZOCORONA
            
"
"29588
",TNEE82301D,"5,0","

                
SCUOLA PRIMARIA GRUMO
            
"
"29589
",TNMM82301C,"4,8","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""E. CHINI"" MEZZOCORONA
            
"
"29593
",TNEE82407G,"3,0","

                
SCUOLA PRIMARIA ""L. Nicolussi"" MOLVENO
            
"
"29459
",TNMM847011,"3,0","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""D. ALIGHIERI"" AVIO
            
"
"29479
",TNEE812024,"4,0","

                
SCUOLA PRIMARIA GRIGNO
            
"
"29480
",TNMM812012,"4,3","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""ORA E VEGLIA"" BORGO VALSUGANA
            
"
"29481
",TNMM812023,"4,0","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""S. FANTE"" GRIGNO
            
"
"29493
",TNEE82206V,"4,5","

                
SCUOLA PRIMARIA ""DON L. MILANI"" LASES
            
"
"29495
",TNEE822081,"4,0","

                
SCUOLA PRIMARIA ""P. SARTORI"" SOVER
            
"
"29499
",TNMM82201L,"4,0","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""A. VIELMETTI"" CEMBRA
            
"
