data_inserimento,ord_scol_cap,ord_scol_ord,strutt_liv_1_cap,strutt_liv_1_cod_miur,strutt_liv_1_cod_pat,tipo_ora_id,valore,valore_d,valore_n,anno_scol,anno_corso,miur_code
1640991602000,FORMAZIONE PROFESSIONALE,5,Centro Formazione Professionale Pavoniano Artigianelli - Trento,,0222059596,DIURNO,0.04285714285714286,70.0,3.0,2020/21,2,TNCF004001
1640991602000,FORMAZIONE PROFESSIONALE,5,Centro Formazione Professionale Pavoniano Artigianelli - Trento,,0222059596,DIURNO,0.19047619047619047,84.0,16.0,2020/21,3,TNCF004001
1640991602000,FORMAZIONE PROFESSIONALE,5,Centro Formazione Professionale Pavoniano Artigianelli - Trento,,0222059596,DIURNO,0.0,50.0,0.0,2020/21,4,TNCF004001
1640991602000,FORMAZIONE PROFESSIONALE,5,Centro Formazione Professionale Pavoniano Artigianelli - Trento,,0222059596,DIURNO,0.02,50.0,1.0,2020/21,5,TNCF004001
1640991602000,FORMAZIONE PROFESSIONALE,5,Centro Formazione Professionale UPT - Trento,,0222059599,DIURNO,0.29411764705882354,68.0,20.0,2020/21,1,TNCF003001
1640991602000,FORMAZIONE PROFESSIONALE,5,Centro Formazione Professionale UPT - Trento,,0222059599,DIURNO,0.02247191011235955,89.0,2.0,2020/21,2,TNCF003001
1640991602000,FORMAZIONE PROFESSIONALE,5,Centro Formazione Professionale UPT - Trento,,0222059599,DIURNO,0.15584415584415584,77.0,12.0,2020/21,3,TNCF003001
1640991602000,FORMAZIONE PROFESSIONALE,5,Centro Formazione Professionale UPT - Trento,,0222059599,DIURNO,0.0,66.0,0.0,2020/21,4,TNCF003001
1640991602000,FORMAZIONE PROFESSIONALE,5,Centro Formazione Professionale UPT - Trento,,0222059599,DIURNO,0.0,59.0,0.0,2020/21,5,TNCF003001
1640991602000,FORMAZIONE PROFESSIONALE,5,Centro Formazione Professionale UPT - Trento,,0222059599,SERALE,0.41818181818181815,55.0,23.0,2020/21,3,TNCF003001
1640991601000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO DI ISTRUZIONE ""M. Martini"" - MEZZOLOMBARDO",TNIS00300A,0221179501,DIURNO,0.0,229.0,0.0,2020/21,1,TNIS00300A
1640991601000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO DI ISTRUZIONE ""M. Martini"" - MEZZOLOMBARDO",TNIS00300A,0221179501,DIURNO,0.005,200.0,1.0,2020/21,2,TNIS00300A
1640991601000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO DI ISTRUZIONE ""M. Martini"" - MEZZOLOMBARDO",TNIS00300A,0221179501,DIURNO,0.0,180.0,0.0,2020/21,3,TNIS00300A
1640991601000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO DI ISTRUZIONE ""M. Martini"" - MEZZOLOMBARDO",TNIS00300A,0221179501,DIURNO,0.0,120.0,0.0,2020/21,4,TNIS00300A
1640991601000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO DI ISTRUZIONE ""M. Martini"" - MEZZOLOMBARDO",TNIS00300A,0221179501,DIURNO,0.0,99.0,0.0,2020/21,5,TNIS00300A
1640991601000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO DI ISTRUZIONE ""M. Martini"" - MEZZOLOMBARDO",TNIS00300A,0221179501,SERALE,0.0,4.0,0.0,2020/21,2,TNIS00300A
