,Unnamed: 0,data_inserimento,ord_scol_cap,ord_scol_ord,strutt_liv_1_cap,strutt_liv_1_cod_miur,strutt_liv_1_cod_pat,tipo_ora_id,valore,valore_d,valore_n,anno_scol,anno_corso,miur_code
31,31,1640991602000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE PAVONIANO ARTIGIANELLI - TRENTO,,222059596,Morning,0.0428571428571428,70.0,3.0,2020-21,2,TNCF004001
32,32,1640991602000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE PAVONIANO ARTIGIANELLI - TRENTO,,222059596,Morning,0.1904761904761904,84.0,16.0,2020-21,3,TNCF004001
33,33,1640991602000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE PAVONIANO ARTIGIANELLI - TRENTO,,222059596,Morning,0.0,50.0,0.0,2020-21,4,TNCF004001
34,34,1640991602000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE PAVONIANO ARTIGIANELLI - TRENTO,,222059596,Morning,0.02,50.0,1.0,2020-21,5,TNCF004001
35,35,1640991602000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE UPT - TRENTO,,222059599,Morning,0.2941176470588235,68.0,20.0,2020-21,1,TNCF003001
36,36,1640991602000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE UPT - TRENTO,,222059599,Morning,0.0224719101123595,89.0,2.0,2020-21,2,TNCF003001
37,37,1640991602000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE UPT - TRENTO,,222059599,Morning,0.1558441558441558,77.0,12.0,2020-21,3,TNCF003001
38,38,1640991602000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE UPT - TRENTO,,222059599,Morning,0.0,66.0,0.0,2020-21,4,TNCF003001
39,39,1640991602000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE UPT - TRENTO,,222059599,Morning,0.0,59.0,0.0,2020-21,5,TNCF003001
40,40,1640991602000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE UPT - TRENTO,,222059599,Evening,0.4181818181818181,55.0,23.0,2020-21,3,TNCF003001
41,41,1640991601000,High School,4,"ISTITUTO DI ISTRUZIONE ""M. MARTINI"" - MEZZOLOMBARDO",TNIS00300A,221179501,Morning,0.0,229.0,0.0,2020-21,1,TNIS00300A
42,42,1640991601000,High School,4,"ISTITUTO DI ISTRUZIONE ""M. MARTINI"" - MEZZOLOMBARDO",TNIS00300A,221179501,Morning,0.005,200.0,1.0,2020-21,2,TNIS00300A
43,43,1640991601000,High School,4,"ISTITUTO DI ISTRUZIONE ""M. MARTINI"" - MEZZOLOMBARDO",TNIS00300A,221179501,Morning,0.0,180.0,0.0,2020-21,3,TNIS00300A
44,44,1640991601000,High School,4,"ISTITUTO DI ISTRUZIONE ""M. MARTINI"" - MEZZOLOMBARDO",TNIS00300A,221179501,Morning,0.0,120.0,0.0,2020-21,4,TNIS00300A
45,45,1640991601000,High School,4,"ISTITUTO DI ISTRUZIONE ""M. MARTINI"" - MEZZOLOMBARDO",TNIS00300A,221179501,Morning,0.0,99.0,0.0,2020-21,5,TNIS00300A
46,46,1640991601000,High School,4,"ISTITUTO DI ISTRUZIONE ""M. MARTINI"" - MEZZOLOMBARDO",TNIS00300A,221179501,Evening,0.0,4.0,0.0,2020-21,2,TNIS00300A
47,47,1640991601000,High School,4,"ISTITUTO DI ISTRUZIONE ""M. MARTINI"" - MEZZOLOMBARDO",TNIS00300A,221179501,Evening,0.0,12.0,0.0,2020-21,3,TNIS00300A
48,48,1640991601000,High School,4,"ISTITUTO DI ISTRUZIONE ""M. MARTINI"" - MEZZOLOMBARDO",TNIS00300A,221179501,Evening,0.0909090909090909,11.0,1.0,2020-21,4,TNIS00300A
49,49,1640991601000,High School,4,"ISTITUTO DI ISTRUZIONE ""M. MARTINI"" - MEZZOLOMBARDO",TNIS00300A,221179501,Evening,0.0769230769230769,13.0,1.0,2020-21,5,TNIS00300A
50,50,1640991602000,High School,4,"LICEO DELLE ARTI DI TRENTO E ROVERETO ""VITTORIA-BONPORTI-DEPERO""",TNSD02000X,222059516,Morning,0.0181818181818181,220.0,4.0,2020-21,1,TNSD02000X
51,51,1640991602000,High School,4,"LICEO DELLE ARTI DI TRENTO E ROVERETO ""VITTORIA-BONPORTI-DEPERO""",TNSD02000X,222059516,Morning,0.0118110236220472,254.0,3.0,2020-21,2,TNSD02000X
52,52,1640991602000,High School,4,"LICEO DELLE ARTI DI TRENTO E ROVERETO ""VITTORIA-BONPORTI-DEPERO""",TNSD02000X,222059516,Morning,0.0181818181818181,275.0,5.0,2020-21,3,TNSD02000X
53,53,1640991602000,High School,4,"LICEO DELLE ARTI DI TRENTO E ROVERETO ""VITTORIA-BONPORTI-DEPERO""",TNSD02000X,222059516,Morning,0.018348623853211,218.0,4.0,2020-21,4,TNSD02000X
