data_inserimento,ord_scol_cap,ord_scol_ord,strutt_liv_1_cap,strutt_liv_1_cod_miur,strutt_liv_1_cod_pat,tipo_ora_id,valore,valore_d,valore_n,anno_scol,miur_code
1640991604000,PRIMARIA,2,ISTITUTO COMPRENSIVO VAL RENDENA,TNIC83400T,0221432901,DIURNO,0.0,454.0,0.0,2020/21,TNIC83400T
1640991604000,SECONDARIA DI PRIMO GRADO,3,ISTITUTO COMPRENSIVO VAL RENDENA,TNIC83400T,0221432901,DIURNO,0.0,327.0,0.0,2020/21,TNIC83400T
1640991604000,PRIMARIA,2,ISTITUTO COMPRENSIVO VALLE DEI LAGHI - DRO,TNIC84400C,0222152901,DIURNO,0.0,864.0,0.0,2020/21,TNIC84400C
1640991604000,SECONDARIA DI PRIMO GRADO,3,ISTITUTO COMPRENSIVO VALLE DEI LAGHI - DRO,TNIC84400C,0222152901,DIURNO,0.0,510.0,0.0,2020/21,TNIC84400C
1640991604000,PRIMARIA,2,ISTITUTO COMPRENSIVO VALLE DI LEDRO,TNIC80600N,0221192901,DIURNO,0.004830917874396135,207.0,1.0,2020/21,TNIC80600N
1640991604000,SECONDARIA DI PRIMO GRADO,3,ISTITUTO COMPRENSIVO VALLE DI LEDRO,TNIC80600N,0221192901,DIURNO,0.0,157.0,0.0,2020/21,TNIC80600N
1640991604000,PRIMARIA,2,ISTITUTO COMPRENSIVO VIGOLO VATTARO,TNIC803006,0222192901,DIURNO,0.0,274.0,0.0,2020/21,TNIC803006
1640991604000,SECONDARIA DI PRIMO GRADO,3,ISTITUTO COMPRENSIVO VIGOLO VATTARO,TNIC803006,0222192901,DIURNO,0.0,143.0,0.0,2020/21,TNIC803006
1640991604000,PRIMARIA,2,ISTITUTO COMPRENSIVO VILLA LAGARINA,TNIC846004,0222222901,DIURNO,0.0,464.0,0.0,2020/21,TNIC846004
1640991604000,SECONDARIA DI PRIMO GRADO,3,ISTITUTO COMPRENSIVO VILLA LAGARINA,TNIC846004,0222222901,DIURNO,0.00364963503649635,274.0,1.0,2020/21,TNIC846004
1640991603000,PRIMARIA,2,ISTITUTO COMPRENSIVO CIVEZZANO,TNIC817004,0220612901,DIURNO,0.0,370.0,0.0,2020/21,TNIC817004
1640991603000,SECONDARIA DI PRIMO GRADO,3,ISTITUTO COMPRENSIVO CIVEZZANO,TNIC817004,0220612901,DIURNO,0.0,200.0,0.0,2020/21,TNIC817004
1640991604000,PRIMARIA,2,"ISTITUTO COMPRENSIVO DEL CHIESE ""Don L. Milani""",TNIC838005,0221832901,DIURNO,0.0,484.0,0.0,2020/21,TNIC838005
1640991604000,SECONDARIA DI PRIMO GRADO,3,"ISTITUTO COMPRENSIVO DEL CHIESE ""Don L. Milani""",TNIC838005,0221832901,DIURNO,0.0,347.0,0.0,2020/21,TNIC838005
1640991603000,PRIMARIA,2,ISTITUTO COMPRENSIVO FOLGARIA - LAVARONE - LUSERNA,TNIC804002,0220872901,DIURNO,0.0,159.0,0.0,2020/21,TNIC804002
1640991603000,SECONDARIA DI PRIMO GRADO,3,ISTITUTO COMPRENSIVO FOLGARIA - LAVARONE - LUSERNA,TNIC804002,0220872901,DIURNO,0.0,109.0,0.0,2020/21,TNIC804002
1640991604000,PRIMARIA,2,ISTITUTO COMPRENSIVO FONDO - REVO',TNIC82800E,0220882901,DIURNO,0.0,545.0,0.0,2020/21,TNIC82800E
1640991604000,SECONDARIA DI PRIMO GRADO,3,ISTITUTO COMPRENSIVO FONDO - REVO',TNIC82800E,0220882901,DIURNO,0.002906976744186047,344.0,1.0,2020/21,TNIC82800E
1640991604000,FORMAZIONE PROFESSIONALE,5,Giuseppe Veronesi - Centro di istruzione scolastica e di formazione professionale,,0221619599,DIURNO,0.05018587360594796,538.0,27.0,2020/21,TNCF002001
1640991604000,SECONDARIA DI SECONDO GRADO,4,Giuseppe Veronesi - Centro di istruzione scolastica e di formazione professionale,,0221619599,DIURNO,0.0,72.0,0.0,2020/21,TNCF002001
1640991603000,PRIMARIA,2,"ISTITUTO COMPRENSIVO ALA  ""Antonio Bresciani""",TNIC84800Q,0220012901,DIURNO,0.004618937644341801,433.0,2.0,2020/21,TNIC84800Q
1640991603000,SECONDARIA DI PRIMO GRADO,3,"ISTITUTO COMPRENSIVO ALA  ""Antonio Bresciani""",TNIC84800Q,0220012901,DIURNO,0.007407407407407408,270.0,2.0,2020/21,TNIC84800Q
1640991604000,PRIMARIA,2,ISTITUTO COMPRENSIVO ALDENO MATTARELLO,TNIC82100Q,0222052903,DIURNO,0.0,585.0,0.0,2020/21,TNIC82100Q
1640991604000,SECONDARIA DI PRIMO GRADO,3,ISTITUTO COMPRENSIVO ALDENO MATTARELLO,TNIC82100Q,0222052903,DIURNO,0.0,346.0,0.0,2020/21,TNIC82100Q
1640991604000,PRIMARIA,2,ISTITUTO COMPRENSIVO ALTA VAL DI SOLE,TNIC832006,0221142901,DIURNO,0.0,298.0,0.0,2020/21,TNIC832006
1640991604000,SECONDARIA DI PRIMO GRADO,3,ISTITUTO COMPRENSIVO ALTA VAL DI SOLE,TNIC832006,0221142901,DIURNO,0.0,175.0,0.0,2020/21,TNIC832006
1640991604000,PRIMARIA,2,ISTITUTO COMPRENSIVO ALTA VALLAGARINA,TNIC86000A,0221612906,DIURNO,0.0,398.0,0.0,2020/21,TNIC86000A
1640991604000,SECONDARIA DI PRIMO GRADO,3,ISTITUTO COMPRENSIVO ALTA VALLAGARINA,TNIC86000A,0221612906,DIURNO,0.0,215.0,0.0,2020/21,TNIC86000A
1640991603000,PRIMARIA,2,ISTITUTO COMPRENSIVO ALTOPIANO DI PINE',TNIC816008,0220092901,DIURNO,0.0,327.0,0.0,2020/21,TNIC816008
1640991603000,SECONDARIA DI PRIMO GRADO,3,ISTITUTO COMPRENSIVO ALTOPIANO DI PINE',TNIC816008,0220092901,DIURNO,0.005208333333333333,192.0,1.0,2020/21,TNIC816008
1640991603000,PRIMARIA,2,ISTITUTO COMPRENSIVO ARCO,TNIC840005,0220062901,DIURNO,0.0,860.0,0.0,2020/21,TNIC840005
1640991603000,SECONDARIA DI PRIMO GRADO,3,ISTITUTO COMPRENSIVO ARCO,TNIC840005,0220062901,DIURNO,0.0,474.0,0.0,2020/21,TNIC840005
1640991604000,PRIMARIA,2,ISTITUTO COMPRENSIVO PERGINE 1,TNIC81400L,0221392901,DIURNO,0.0,581.0,0.0,2020/21,TNIC81400L
1640991604000,SECONDARIA DI PRIMO GRADO,3,ISTITUTO COMPRENSIVO PERGINE 1,TNIC81400L,0221392901,DIURNO,0.0,374.0,0.0,2020/21,TNIC81400L
1640991604000,PRIMARIA,2,"ISTITUTO COMPRENSIVO PERGINE 2 ""C. Freinet""",TNIC81500C,0221392902,DIURNO,0.0,622.0,0.0,2020/21,TNIC81500C
1640991604000,SECONDARIA DI PRIMO GRADO,3,"ISTITUTO COMPRENSIVO PERGINE 2 ""C. Freinet""",TNIC81500C,0221392902,DIURNO,0.0,386.0,0.0,2020/21,TNIC81500C
1640991604000,PRIMARIA,2,ISTITUTO COMPRENSIVO PREDAZZO TESERO PANCHIA' ZIANO,TNIC808009,0221472902,DIURNO,0.0,458.0,0.0,2020/21,TNIC808009
1640991604000,SECONDARIA DI PRIMO GRADO,3,ISTITUTO COMPRENSIVO PREDAZZO TESERO PANCHIA' ZIANO,TNIC808009,0221472902,DIURNO,0.0,265.0,0.0,2020/21,TNIC808009
1640991604000,PRIMARIA,2,"ISTITUTO COMPRENSIVO RIVA 2 ""L. Pizzini""",TNIC84200R,0221532902,DIURNO,0.0,566.0,0.0,2020/21,TNIC84200R
1640991604000,SECONDARIA DI PRIMO GRADO,3,"ISTITUTO COMPRENSIVO RIVA 2 ""L. Pizzini""",TNIC84200R,0221532902,DIURNO,0.0,297.0,0.0,2020/21,TNIC84200R
1640991604000,PRIMARIA,2,ISTITUTO COMPRENSIVO ROVERETO NORD,TNIC859006,0221612904,DIURNO,0.0,451.0,0.0,2020/21,TNIC859006
1640991604000,SECONDARIA DI PRIMO GRADO,3,ISTITUTO COMPRENSIVO ROVERETO NORD,TNIC859006,0221612904,DIURNO,0.0,310.0,0.0,2020/21,TNIC859006
