nome,cognome,titolo,id_istituto
DANIELA,DALCASTAGNE',COORDINATORE PEDAGOGICO,149
MARIANGELA,SIMONCINI,COORDINATORE PEDAGOGICO,150
ALESSANDRA,POMILIO,COORDINATORE PEDAGOGICO,151
ILARIA,MANCINI,COORDINATORE PEDAGOGICO,152
ROBERTA,MEDEGHINI,COORDINATORE PEDAGOGICO,153
TIZIANA,CEOL,COORDINATORE PEDAGOGICO,154
GIANNA,ANGELI,COORDINATORE PEDAGOGICO,155
PAMELA,TOMASELLI,COORDINATORE PEDAGOGICO,156
FRANCESCA,VARESCHI,COORDINATORE PEDAGOGICO,157
ILARIA,MANCINI,COORDINATORE PEDAGOGICO,158
ILARIA,MANCINI,COORDINATORE PEDAGOGICO,159
ALESSANDRA,POMILIO,COORDINATORE PEDAGOGICO,160
ILARIA,MANCINI,COORDINATORE PEDAGOGICO,161
CARMEN,FATTORI,COORDINATORE PEDAGOGICO,162
SILVANO,MEDVES,COORDINATORE PEDAGOGICO,163
ILARIA,MANCINI,COORDINATORE PEDAGOGICO,164
ROBERTA,BERTOLAS,COORDINATORE PEDAGOGICO,165
PAMELA,TOMASELLI,COORDINATORE PEDAGOGICO,166
LORENZO,SANTORUM,COORDINATORE PEDAGOGICO,167
DANIELA,DALCASTAGNE',COORDINATORE PEDAGOGICO,168
ILARIA,MANCINI,COORDINATORE PEDAGOGICO,169
MARIANGELA,SIMONCINI,COORDINATORE PEDAGOGICO,170
CARMEN,FATTORI,COORDINATORE PEDAGOGICO,171
CHIARA,GHETTA,DIRIGENTE SCOLASTICO,172
GIUSEPPE,PRIGIOTTI,DIRIGENTE SCOLASTICO,173
SARA,TURRINI,DIRIGENTE SCOLASTICO,174
PAOLA,MARONI,DIRIGENTE SCOLASTICO,175
GABRIELLA,VITALE,DIRIGENTE SCOLASTICO,176
TIZIANA,CHEMOTTI,DIRIGENTE SCOLASTICO,177
VENERA,MUNAFO',DIRIGENTE SCOLASTICO,178
ROMEO,COLLINI,DIRIGENTE SCOLASTICO,179
ROBERTA,BISOFFI,DIRIGENTE SCOLASTICO,180
ROBERTA,GAMBARO,DIRIGENTE SCOLASTICO,181
MILENA,ENDRIZZI,COORDINATORE PEDAGOGICO,182
TATIANA,SORAPERRA,COORDINATORE PEDAGOGICO,183
FEDERICO,CORRADINI,SORASTANT,183
ALESSANDRO,MIORELLI,DIRIGENTE SCOLASTICO,184
LAURA,SCALFI,DIRETTORE,185
MAURA,MAINO,DIRIGENTE SCOLASTICO,186
TIZIANA CHIARA, PASQUINI,DIRIGENTE SCOLASTICO,187
FRANCO,VANIN,DIRIGENTE SCOLASTICO,188
PIERA,PEGORETTI,DIRIGENTE SCOLASTICO,189
NORMA,BORGOGNO,DIRIGENTE SCOLASTICO,190
CLAUDIA,TERRANOVA,DIRIGENTE SCOLASTICO,191
DANIELA,FRUET,DIRIGENTE SCOLASTICO,192
STEFANO,MORELATO,DIRIGENTE SCOLASTICO,193
ELISABETTA,PIZIO,DIRIGENTE SCOLASTICO,194
MAURIZIO,CAPRONI,DIRIGENTE SCOLASTICO,195
DANIELA,DEPENTORI,DIRIGENTE SCOLASTICO,196
GIULIANA,SIGHEL,DIRIGENTE SCOLASTICO,197
RENATO,PAOLI,DIRIGENTE SCOLASTICO,198
FRANCESCA,LASARACINA,DIRIGENTE SCOLASTICO,199
EZIO,MONTIBELLER,DIRIGENTE SCOLASTICO,200
PAOLA,SIGMUND,DIRIGENTE SCOLASTICO,201
CINZIA,CASNA,DIRIGENTE SCOLASTICO,202
VITO,ROVIGO,DIRIGENTE SCOLASTICO,203
PASQUA CINZIA, SALOMONE,DIRIGENTE SCOLASTICO,204
LUIGI,VITULLO,DIRIGENTE SCOLASTICO,205
ROBERTO,TROLLI,DIRIGENTE SCOLASTICO,206
STEFANO,CHESINI,DIRIGENTE SCOLASTICO,207
MAURA,ZINI,DIRIGENTE SCOLASTICO,208
ALBERTO,PARIS,DIRIGENTE SCOLASTICO,209
LAURA,DE DONNO,DIRIGENTE SCOLASTICO,210
CARLO,ZANETTI,DIRIGENTE SCOLASTICO,211
LINA,BROCH,DIRIGENTE SCOLASTICO,212
PATRIZIA,VISCONTI,DIRIGENTE SCOLASTICO,213
PAOLA,PASQUALIN,DIRIGENTE SCOLASTICO,214
GIULIO,BERTOLDI,DIRIGENTE SCOLASTICO,215
ALESSANDRO,FABRIS,DIRIGENTE SCOLASTICO,216
TIZIANA,GULLI,DIRIGENTE SCOLASTICO,217
KATIA,PEGORETTI,COORDINATORE PEDAGOGICO,218
LAURA,BERTOLDI,COORDINATORE PEDAGOGICO,219
VALENTINA,DANTE,DIRIGENTE SCOLASTICO,220
ANDREA,SCHELFI,DIRIGENTE SCOLASTICO,221
CAZZANI,DANIELA,DIRETTORE,221
WALTER,IORI,DIRETTORE,222
FEDERICO,SAMADEN,DIRIGENTE SCOLASTICO,223
TARGA,WALTER,DIRETTORE,223
MARIA,PRODI,DIRIGENTE SCOLASTICO,224
MASSIMILIANO,LATINO,DIRIGENTE SCOLASTICO,225
PAOLO,CHINCARINI,DIRIGENTE SCOLASTICO,226
MARIA RITA, MAGISTRO,DIRIGENTE SCOLASTICO,227
DELUCA,ENZO,DIRETTORE,227
LICIA,CAMPI,DIRIGENTE SCOLASTICO,228
NICOLA,PARZIAN,DIRIGENTE SCOLASTICO,229
MARIA TERESA, DOSSO,DIRIGENTE SCOLASTICO,230
PAOLO ANDREA, BUZZELLI,DIRIGENTE SCOLASTICO,231
GIUSEPPE,GAMMINO,DIRIGENTE SCOLASTICO,232
MASSIMO,GABURRO,DIRIGENTE SCOLASTICO,233
CHIARA,MOTTER,DIRIGENTE SCOLASTICO,234
PAOLA,BORTOLOTTI,DIRIGENTE SCOLASTICO,235
FRANCESCA,BORROI,DIRIGENTE SCOLASTICO,236
MICHELE,ROSA,DIRIGENTE SCOLASTICO,237
SARA,TONAZZOLI,COORDINATORE PEDAGOGICO,238
ERMINIA, MORELLI,PRESIDENTE ENTE GESTORE,238
ANNARITA,CAPPELLETTI,COORDINATORE PEDAGOGICO,239
MARTINA,BASSETI,COORDINATORE PEDAGOGICO,240
SIMONETTA,ERRIGO,COORDINATORE PEDAGOGICO,241
CHIARA,NADALON,COORDINATORE PEDAGOGICO,242
GINEVRA,RELLA,COORDINATORE PEDAGOGICO,243
FRANCESCA,VARESCHI,COORDINATORE PEDAGOGICO,244
ALBERTO,GALLI,PRESIDENTE ENTE GESTORE,245
FRANCESCA,PAROLARI,DIRETTORE,246
FRANCO,ANTONINI,PRESIDENTE ENTE GESTORE,247
STEFANO,TALASSI,PRESIDENTE ENTE GESTORE,248
CHIARA,ZONTINI,PRESIDENTE ENTE GESTORE,249
PIER LUIGI, SACCANI,PRESIDENTE ENTE GESTORE,250
FRANCESCA,PAROLARI,DIRETTORE,251
PAOLA,SANGIORGI,COORDINATORE PEDAGOGICO,252
MARCO,MANICA,PRESIDENTE ENTE GESTORE,253
ANNA,DALDOSS,PRESIDENTE ENTE GESTORE,254
MARCO,SALVATERRA,PRESIDENTE ENTE GESTORE,255
ANTONIO,GIRARDI,PRESIDENTE ENTE GESTORE,256
SARA,DE ZOLT,COORDINATORE PEDAGOGICO,257
TULLIO,MUSSI,PRESIDENTE ENTE GESTORE,258
ALESSANDRA,BIANCHI,COORDINATORE PEDAGOGICO,259
PIERLUIGI,PIFFER,PRESIDENTE ENTE GESTORE,259
TIZIANA,CEOL,COORDINATORE PEDAGOGICO,260
ALESSANDRO,LARENTIS,PRESIDENTE ENTE GESTORE,260
DORIS,LOSA,COORDINATORE PEDAGOGICO,261
LUANA,CLINAZ,PRESIDENTE ENTE GESTORE,261
DIEGO,MARIA BONAZZA,PRESIDENTE ENTE GESTORE,262
STEFANO,ZENDRI,PRESIDENTE ENTE GESTORE,263
TIZIANA,CEOL,COORDINATORE PEDAGOGICO,264
ALESSANDRO,LARENTIS,PRESIDENTE ENTE GESTORE,264
SARA,DE ZOLT,COORDINATORE PEDAGOGICO,265
MANUEL,PENASA,DIRIGENTE SCOLASTICO,266
CLAUDIA,BISOGNIN,DIRETTORE,266
UTE,PANCHER,COORDINATORE PEDAGOGICO,267
LUCA,BRANZ,DIRETTORE,268
FRANCESCO,MICHELETTI,DIRETTORE,269
TIZIANA,CEOL,COORDINATORE PEDAGOGICO,270
ROBERTA,MEDEGHINI,COORDINATORE PEDAGOGICO,271
